datetime;open;high;low;close
2017-05-19 0:00;1879;1969.99;1874.99;1958
2017-05-20 0:00;1959.09;2021;1914;2013.99
2017-05-21 0:00;2013.99;2063.11;1961.52;2017.55
2017-05-22 0:00;2017.55;2230.34;2001;2099.97
2017-05-23 0:00;2088.76;2275;2088.45;2264.23
2017-05-24 0:00;2265.9;2481.75;2264.64;2420.29
2017-05-25 0:00;2420.29;2760.1;2221;2292.53
2017-05-26 0:00;2277.01;2599.12;2060;2279.82
2017-05-27 0:00;2280.7;2339.94;1850;2042
2017-05-28 0:00;2042.89;2313.96;2041.48;2178.81
2017-05-29 0:00;2172.54;2350;2110;2292.1
2017-05-30 0:00;2290.18;2339.08;2160;2203.51
2017-05-31 0:00;2201.7;2334;2154.28;2298.01
2017-06-01 0:00;2298.01;2456.39;2296.81;2413.63
2017-06-02 0:00;2413.58;2489;2370.03;2488.94
2017-06-03 0:00;2488.94;2584.34;2445;2540.94
2017-06-04 0:00;2538.1;2569;2460;2530.27
2017-06-05 0:00;2530.27;2699.35;2525.28;2698
2017-06-06 0:00;2698;2933;2689.4;2880.74
2017-06-07 0:00;2875.71;2893.28;2612.5;2683.03
2017-06-08 0:00;2680.24;2815;2613.13;2806
2017-06-09 0:00;2805.46;2868.23;2780.43;2822.32
2017-06-10 0:00;2818;2912.98;2800;2899.99
